makam,num_usuls,shapeh_mean,shapeh_best,avg_rank,best_rank
Hüseynî Beste,5,63.75696020868522,67.09539182859628,463.747619047619,309.54761904761904
Yegâh Ağırsemâî,1,62.58657999870155,62.58657999870155,467.0952380952381,467.0952380952381
Nişâburek Peşrev,2,66.9500558816093,70.67533210645121,468.98809523809524,125.78571428571429
Isfahân Peşrev,2,63.75762324124115,64.7460120057527,480.33333333333337,243.88095238095238
Rast Peşrev,5,65.44757926858259,69.42955762848831,481.0571428571429,267.8333333333333
Beyâtî Ağırsemâî,2,62.79286436371772,67.62332448729143,486.27777777777777,237.53174603174602
Hisar Nakış,1,62.19276860668832,62.19276860668832,488.5952380952381,488.5952380952381
Sabâ Sazsemâîsi,1,61.538310844678335,61.538310844678335,490.5357142857143,490.5357142857143
Hicaz Beste,5,65.08225016183972,71.59499334291311,506.56190476190477,178.71428571428572
Hüzzam Yürüksemâî,1,65.00551922258843,65.00551922258843,509.8809523809524,509.8809523809524
Muhayyer Peşrev,4,62.95851109335838,68.50898116553523,513.6607142857142,324.6190476190476
Sabâ Mî`râciye,1,66.1610615976072,66.1610615976072,516.7619047619048,516.7619047619048
Nevâ Peşrev,2,63.45864556976918,65.96488646151289,524.9702380952381,472.32142857142856
Sûzidil Ağırsemâî,1,61.23798702269983,61.23798702269983,536.7777777777778,536.7777777777778
Acemaşîrân Beste,2,65.52600566376412,65.83501559855134,536.7857142857142,519.8333333333334
Müberka Sazsemâîsi,1,63.59854857733297,63.59854857733297,536.9047619047619,536.9047619047619
Uşşak Fantezi,1,62.461795827447666,62.461795827447666,541.9047619047619,541.9047619047619
Sabâ Peşrev,7,63.03942462959426,75.97953002601577,554.984693877551,34.642857142857146
Bûselik Peşrev,2,63.969479340983966,64.06160420428593,561.952380952381,558.0952380952381
Bûselik Murabbâ,1,61.324871808595475,61.324871808595475,562.8095238095239,562.8095238095239
Yegâh Nakış,1,58.2034094989272,58.2034094989272,574.2619047619048,574.2619047619048
Kürdî Peşrev,1,59.209348490747054,59.209348490747054,576.8095238095239,576.8095238095239
Nev`eser Sazsemâîsi,1,64.42590311606743,64.42590311606743,582.1011904761905,582.1011904761905
Mâhur Tavşanca,2,60.707141225686755,62.51471617447226,584.0833333333333,521.9285714285714
Segâh Kâr,1,64.56412092026598,64.56412092026598,589.6666666666666,589.6666666666666
